"branch_id","mu","Lambda","sorted_position","n_halfwaves_left","n_halfwaves_right","nearest_left_reference_family","nearest_right_reference_family","left_bending_energy_fraction","right_bending_energy_fraction","localization_ratio","arm_bias","left_tip_amplitude_fraction","right_tip_amplitude_fraction"
"bending_desc_01","0.45874999999999999","5.076881551271744","2","1","2","1","2","NA","NA","NA","NA","NA","NA"
"bending_desc_01","0.46124999999999999","5.0695715489901483","2","1","2","1","2","NA","NA","NA","NA","NA","NA"
"bending_desc_01","0.46250000000000002","5.06592092054915","2","1","2","1","2","NA","NA","NA","NA","NA","NA"
"bending_desc_01","0.46375","5.0622728249835474","2","1","2","1","2","NA","NA","NA","NA","NA","NA"
"bending_desc_01","0.46625","5.0549849821077988","2","1","2","1","2","NA","NA","NA","NA","NA","NA"
"bending_desc_01","0.46875","5.0477094453686098","2","1","2","1","2","NA","NA","NA","NA","NA","NA"
"bending_desc_01","0.47125","5.0404465917190775","2","1","2","1","2","NA","NA","NA","NA","NA","NA"
"bending_desc_01","0.47375","5.0331956570477692","2","1","2","1","2","NA","NA","NA","NA","NA","NA"
"bending_desc_01","0.47499999999999998","5.0295751267123023","2","1","2","1","2","NA","NA","NA","NA","NA","NA"
"bending_desc_01","0.48749999999999999","4.9935590457662631","2","1","2","1","2","NA","NA","NA","NA","NA","NA"
"bending_desc_01","0.5","4.9579111428377249","2","1","2","1","2","NA","NA","NA","NA","NA","NA"
"bending_desc_01","0.51249999999999996","4.9226587400777841","2","1","2","1","2","NA","NA","NA","NA","NA","NA"
"bending_desc_01","0.52500000000000002","4.8878230929658173","2","1","2","1","2","NA","NA","NA","NA","NA","NA"
"bending_desc_01","0.53749999999999998","4.8534194001354241","2","1","2","1","2","NA","NA","NA","NA","NA","NA"
"bending_desc_01","0.55000000000000004","4.8194565901138908","2","1","2","1","2","NA","NA","NA","NA","NA","NA"
"bending_desc_01","0.5625","4.7859427914088517","2","1","2","1","2","NA","NA","NA","NA","NA","NA"
"bending_desc_01","0.57499999999999996","4.7528804821226309","2","1","2","1","2","NA","NA","NA","NA","NA","NA"
"bending_desc_01","0.58750000000000002","4.7202694624364252","2","1","2","1","2","NA","NA","NA","NA","NA","NA"
"bending_desc_01","0.59999999999999998","4.6881091836142907","2","1","2","1","2","NA","NA","NA","NA","NA","NA"
"bending_desc_01","0.61250000000000004","4.6563934681247519","2","1","2","1","2","NA","NA","NA","NA","NA","NA"
"bending_desc_01","0.625","4.6251192907898622","2","1","2","1","2","NA","NA","NA","NA","NA","NA"
"bending_desc_01","0.63749999999999996","4.5942800183846666","2","1","2","1","2","NA","NA","NA","NA","NA","NA"
"bending_desc_01","0.65000000000000002","4.5638635230837536","2","1","2","1","2","NA","NA","NA","NA","NA","NA"
"bending_desc_01","0.66249999999999998","4.5338629332275096","2","1","2","1","2","NA","NA","NA","NA","NA","NA"
"bending_desc_01","0.67500000000000004","4.5042669929601749","2","1","2","1","2","NA","NA","NA","NA","NA","NA"
"bending_desc_01","0.6875","4.4750575692296222","2","1","2","1","2","NA","NA","NA","NA","NA","NA"
"bending_desc_01","0.69999999999999996","4.446222175045504","2","1","2","1","2","NA","NA","NA","NA","NA","NA"
"bending_desc_01","0.71250000000000002","4.4177476819022026","2","1","2","1","2","NA","NA","NA","NA","NA","NA"
"bending_desc_01","0.72499999999999998","4.3896089209744025","2","1","2","1","2","NA","NA","NA","NA","NA","NA"
"bending_desc_01","0.73750000000000004","4.3617882525507703","2","1","2","1","2","NA","NA","NA","NA","NA","NA"
"bending_desc_01","0.75","4.3342493610121338","2","1","2","1","2","NA","NA","NA","NA","NA","NA"
"bending_desc_01","0.76249999999999996","4.3069782606526763","2","1","2","1","2","NA","NA","NA","NA","NA","NA"
"bending_desc_01","0.77500000000000002","4.2799296879133424","2","1","2","1","2","NA","NA","NA","NA","NA","NA"
"bending_desc_01","0.78749999999999998","4.2530782673459155","2","1","2","1","2","NA","NA","NA","NA","NA","NA"
"bending_desc_01","0.80000000000000004","4.226391226422396","2","1","2","1","2","NA","NA","NA","NA","NA","NA"
"bending_desc_01","0.8125","4.1998004863331406","2","1","2","1","2","NA","NA","NA","NA","NA","NA"
"bending_desc_01","0.82499999999999996","4.173317179595589","2","1","2","1","2","NA","NA","NA","NA","NA","NA"
"bending_desc_01","0.83750000000000002","4.1468552184020329","2","1","2","1","2","NA","NA","NA","NA","NA","NA"
"bending_desc_01","0.84999999999999998","4.1203870831058946","2","1","2","1","2","NA","NA","NA","NA","NA","NA"
"bending_desc_01","0.86250000000000004","4.0938583253297907","2","1","2","1","2","NA","NA","NA","NA","NA","NA"
"bending_desc_01","0.875","4.0674422096551073","2","1","2","1","2","NA","NA","NA","NA","NA","NA"
"bending_desc_01","0.88749999999999996","4.0413398968303662","2","1","2","1","2","NA","NA","NA","NA","NA","NA"
"bending_desc_01","0.90000000000000002","4.0162066953353008","2","1","2","1","2","NA","NA","NA","NA","NA","NA"
"bending_desc_02","0","3.9265992490424351","1","1","1","1","1","NA","NA","NA","NA","NA","NA"
