"target_branch_id","paired_branch_id","mu","Lambda_target","Lambda_pair","gap_abs","gap_rel","sorted_position_target","sorted_position_pair","n_left_target","n_right_target","n_left_pair","n_right_pair"
"bending_desc_01","bending_desc_04","0.46250000000000002","5.06592092054915","7.0466882031990457","1.9807672826498957","0.32705873068526053","2","3","1","2","1","3"
"bending_desc_01","bending_desc_04","0.46375","5.0622728249835474","7.0441464785095684","1.9818736535260211","0.32740872488270462","2","3","1","2","1","3"
"bending_desc_01","bending_desc_04","0.46625","5.0549849821077988","7.0387557906500673","1.9837708085422685","0.3280657070161242","2","3","1","2","1","3"
"bending_desc_01","bending_desc_04","0.46875","5.0477094453686098","7.0329866199954241","1.9852771746268143","0.32866933558881667","2","3","1","2","1","3"
"bending_desc_01","bending_desc_04","0.47125","5.0404465917190775","7.0268735057584015","1.986426914039324","0.32922420189293916","2","3","1","2","1","3"
"bending_desc_01","bending_desc_04","0.47375","5.0331956570477692","7.0204484399924869","1.9872527829447177","0.32973477015679981","2","3","1","2","1","3"
"bending_desc_01","bending_desc_04","0.47499999999999998","5.0295751267123023","7.017128006161494","1.9875528794491917","0.32997457603573432","2","3","1","2","1","3"
"bending_desc_01","bending_desc_04","0.48749999999999999","4.9935590457662631","6.980710587430444","1.987151541664181","0.33190359037099482","2","3","1","2","1","3"
"bending_desc_01","bending_desc_04","0.5","4.9579111428377249","6.9401095555424952","1.9821984127047703","0.33319801048499165","2","3","1","2","1","3"
"bending_desc_01","bending_desc_04","0.51249999999999996","4.9226587400777841","6.8969768630719628","1.9743181229941786","0.33407427932347661","2","3","1","2","1","3"
"bending_desc_01","bending_desc_04","0.52500000000000002","4.8878230929658173","6.8523435278386371","1.9645204348728198","0.33466653384485062","2","3","1","2","1","3"
"bending_desc_01","bending_desc_04","0.53749999999999998","4.8534194001354241","6.8068690270354857","1.9534496269000616","0.33506025843204967","2","3","1","2","1","3"
"bending_desc_01","bending_desc_04","0.55000000000000004","4.8194565901138908","6.760985576021258","1.9415289859073672","0.33531171919929065","2","3","1","2","1","3"
"bending_desc_01","bending_desc_04","0.5625","4.7859427914088517","6.7149840505870522","1.9290412591782005","0.33545840012376416","2","3","1","2","1","3"
"bending_desc_01","bending_desc_04","0.57499999999999996","4.7528804821226309","6.669064217299324","1.916183735176693","0.33552670505814441","2","3","1","2","1","3"
"bending_desc_01","bending_desc_04","0.58750000000000002","4.7202694624364252","6.6233640760321899","1.9030946135957647","0.33553527750027817","2","3","1","2","1","3"
"bending_desc_01","bending_desc_04","0.59999999999999998","4.6881091836142907","6.5779822781941224","1.8898730945798317","0.33549755937743336","2","3","1","2","1","3"
"bending_desc_01","bending_desc_04","0.61250000000000004","4.6563934681247519","6.5329872974481393","1.8765938293233875","0.33542407191955215","2","3","1","2","1","3"
"bending_desc_01","bending_desc_04","0.625","4.6251192907898622","6.4884276561469614","1.8633083653570992","0.33532199472476687","2","3","1","2","1","3"
